Date,Close,High,Low,Open,Volume
2025-10-06,421.75,422.5,417.25,419.0,141859
2025-10-07,419.75,424.5,419.0,421.5,219828
2025-10-08,422.0,422.75,418.5,419.25,167360
2025-10-09,418.25,423.25,418.0,422.0,207206
2025-10-10,413.0,419.25,412.25,418.25,233653
2025-10-13,410.75,415.0,410.5,413.0,233653
2025-10-14,413.0,413.5,409.25,410.75,192433
2025-10-15,416.75,418.5,411.25,412.75,195171
2025-10-16,421.75,423.5,416.25,416.75,304262
2025-10-17,422.5,424.75,421.0,421.25,185452
2025-10-20,423.25,424.0,419.5,422.5,179465
2025-10-21,419.75,424.5,418.5,423.25,181051
2025-10-22,423.0,424.0,418.5,419.75,186819
2025-10-23,428.0,428.5,421.0,423.0,206571
2025-10-24,423.25,427.5,423.0,427.25,211852
2025-10-27,428.75,431.75,426.0,427.0,295622
2025-10-28,432.0,436.25,427.25,428.0,378016
2025-10-29,434.0,435.0,430.0,431.25,239879
2025-10-30,430.25,437.0,427.75,434.0,301183
2025-10-31,431.5,432.25,426.5,429.25,214312
2025-11-03,434.25,435.0,427.75,431.0,0
2025-11-04,431.5,434.5,429.25,434.0,183033
2025-11-05,435.25,436.0,428.75,430.5,201307
2025-11-06,428.75,434.75,428.25,434.5,228266
2025-11-07,427.25,430.5,426.75,428.5,186066
2025-11-10,429.75,431.25,426.25,426.75,220392
2025-11-11,432.0,432.75,428.5,429.0,221848
2025-11-12,435.25,436.0,431.0,431.5,271699
2025-11-13,441.5,442.75,434.0,434.75,400924
2025-11-14,430.25,442.75,429.5,441.5,411585
2025-11-17,434.75,437.25,428.5,429.75,219642
2025-11-18,436.75,438.5,433.25,434.75,162294
2025-11-19,429.75,436.25,428.25,435.5,198902
2025-11-20,426.5,431.25,425.75,429.75,195292
2025-11-21,425.5,427.75,424.0,426.25,194578
2025-11-24,423.75,426.5,422.25,426.0,227312
2025-11-25,423.5,426.0,422.25,423.75,227795
2025-11-26,431.75,433.5,423.0,423.0,158325
2025-11-28,435.5,437.0,430.75,432.0,8642
2025-12-01,432.75,436.5,432.0,434.5,3265
2025-12-02,438.0,439.25,430.75,433.25,2267
2025-12-03,431.5,438.0,431.0,438.0,1340
2025-12-04,437.75,438.25,431.0,432.75,1242
2025-12-05,436.75,439.0,435.5,435.75,1038
2025-12-08,436.25,439.75,432.5,437.25,1738
2025-12-09,440.75,441.75,434.5,437.0,1093
