Date,Close,High,Low,Open,Volume,Daily_Return,MA_20,MA_50,MA_100,Volatility_20
2025-12-12,431.5,437.0,428.25,433.25,218646,-0.8615738081562352,432.6625,428.42,413.675,1.156017875752161
2025-12-15,439.75,441.25,436.75,440.25,182672,1.91193511008112,433.1375,428.835,414.055,1.0887840615916875
2025-12-16,436.5,440.0,435.5,439.75,146742,-0.7390562819784008,433.225,429.13,414.425,1.0815841007143012
2025-12-17,440.5,441.5,436.0,436.0,164256,0.9163802978235935,433.4125,429.545,414.8925,1.095948864383051
2025-12-18,444.5,446.0,440.5,440.5,178974,0.9080590238365494,434.15,429.995,415.445,1.0391861411974492
2025-12-19,443.75,444.75,442.5,444.0,129516,-0.16872890888638414,435.0125,430.505,415.965,1.0196256814390916
2025-12-22,447.0,447.75,443.0,443.25,136615,0.7323943661971866,436.0875,431.185,416.495,1.0206945157844027
2025-12-23,447.5,449.0,446.25,446.5,123702,0.11185682326622093,437.275,431.92,417.075,1.0094513625482302
2025-12-24,451.0,451.25,446.75,447.0,95803,0.7821229050279266,438.65,432.68,417.715,1.0121960218587474
2025-12-26,450.0,453.0,448.75,451.0,100523,-0.22172949002217113,439.5625,433.345,418.4,0.942378067796284
2025-12-29,442.25,451.0,442.0,450.0,169679,-1.722222222222225,439.9,433.755,419.025,1.0219961907726867
2025-12-30,440.5,443.0,439.75,442.0,121253,-0.3957037874505409,440.2875,434.115,419.585,1.0146686790058752
2025-12-31,440.25,442.5,439.0,440.5,98189,-0.05675368898978572,440.4,434.455,420.16,0.980070697970521
2026-01-02,437.5,440.75,437.0,440.75,143948,-0.624645088018172,440.7,434.81,420.685,0.9276256866501644
2026-01-05,444.5,445.5,436.25,437.25,183496,1.6000000000000014,441.0375,435.24,421.415,0.9399890700326216
2026-01-06,444.0,447.0,443.5,444.0,185037,-0.11248593925758943,441.4,435.56,422.115,0.9383379144122921
2026-01-07,446.75,447.25,443.75,443.75,155458,0.6193693693693714,441.925,436.03,422.8325,0.9443925769852961
2026-01-08,446.0,448.0,445.5,446.0,169477,-0.16787912702853625,442.1875,436.375,423.455,0.9214827184883956
2026-01-09,445.75,447.5,443.75,445.25,171304,-0.05605381165919576,442.7375,436.65,424.0825,0.8594102391937076
2026-01-12,421.5,448.75,420.0,445.0,570230,-5.440269209197979,442.05,436.4,424.5025,1.5131224191572832
2026-01-13,419.75,422.75,417.25,421.75,357198,-0.41518386714116673,441.4625,436.19,424.9,1.5053343976955178
2026-01-14,422.0,425.0,419.5,420.0,232729,0.5360333531864159,440.575,436.0,425.2475,1.4371480604944529
2026-01-15,420.25,425.0,420.0,422.5,193927,-0.414691943127965,439.7625,435.72,425.5675,1.4325166166735166
2026-01-16,424.75,427.25,420.0,420.25,200728,1.0707911957168248,438.975,435.585,425.9225,1.4391345648002138
2026-01-20,423.75,425.5,422.0,423.5,174838,-0.2354326074161306,437.9375,435.355,426.285,1.416512852613011
2026-01-21,421.75,427.75,421.25,423.75,155623,-0.471976401179941,436.8375,435.215,426.6775,1.4174568674667398
2026-01-22,424.0,424.25,421.0,422.5,147104,0.5334914048606976,435.6875,435.15,427.0625,1.4109275662096337
2026-01-23,430.5,431.25,422.5,423.75,257317,1.5330188679245182,434.8375,435.165,427.3875,1.4650742583474006
2026-01-26,428.25,431.5,427.25,430.0,158114,-0.5226480836236891,433.7,435.09,427.64,1.4487955104791712
2026-01-27,426.5,429.75,426.0,428.25,124209,-0.4086398131932234,432.525,434.915,427.9275,1.4492182196368686
2026-01-28,430.0,433.25,426.75,427.0,200201,0.8206330597889888,431.9125,434.685,428.23,1.4253082396800234
2026-01-29,430.75,434.0,428.0,430.0,180152,0.17441860465117198,431.425,434.695,428.5475,1.4254251958459796
2026-01-30,428.25,431.75,425.25,430.75,193268,-0.580383052814859,430.825,434.565,428.8,1.4293549138526342
2026-02-02,425.75,428.25,424.0,428.25,153885,-0.583771161704616,430.2375,434.345,429.045,1.4286366661512062
2026-02-03,428.5,429.25,425.5,425.75,158964,0.6459189665296572,429.4375,434.32,429.3575,1.3831726081737798
2026-02-04,429.5,432.75,425.25,428.5,240663,0.2333722287047868,428.7125,434.38,429.6625,1.3861381936621826
2026-02-05,435.0,435.75,427.0,429.0,224622,1.2805587892898762,428.125,434.57,430.0225,1.413236320602366
2026-02-06,430.25,436.0,428.75,434.5,240381,-1.091954022988506,427.3375,434.7,430.0925,1.4297747308662425
2026-02-09,428.75,430.0,427.25,428.75,182317,-0.34863451481697005,426.4875,434.805,430.085,1.4300481742160924
2026-02-10,428.75,431.0,427.75,428.0,222724,0.0,426.85,434.745,430.105,0.7176090031394707
2026-02-11,427.5,429.5,425.25,428.75,252146,-0.2915451895043719,427.2375,434.585,430.1425,0.7135696020710064
2026-02-12,431.25,431.5,427.0,428.0,339184,0.8771929824561431,427.7,434.555,430.215,0.7286135850004496
2026-02-13,431.75,432.75,429.5,431.0,236783,0.1159420289855051,428.275,434.43,430.315,0.7180487465877468
2026-02-17,426.25,431.25,426.0,431.0,194390,-1.273885350318471,428.35,434.325,430.315,0.748418319067011
2026-02-18,427.0,428.5,425.25,426.25,168146,0.17595307917888103,428.5125,434.11,430.3425,0.7466715521857273
2026-02-19,425.75,427.75,424.0,426.75,217087,-0.29274004683840227,428.7125,433.89,430.3425,0.7412483683929431
2026-02-20,427.5,428.75,424.0,425.75,249050,0.41103934233706063,428.8875,433.715,430.3975,0.7375394422913999
2026-02-23,427.5,431.5,425.25,427.25,234474,0.0,428.7375,433.45,430.4575,0.6489518799743137
2026-02-24,427.75,429.0,426.0,427.5,158332,0.05847953216373547,428.7125,433.31,430.58,0.6388028273845165
2026-02-25,430.5,431.25,426.75,428.0,118548,0.6428988895382792,428.9125,433.215,430.72,0.646959060021114
2026-02-26,433.25,433.75,428.0,430.0,103287,0.6387921022067422,429.075,433.25,430.835,0.6367363338051507
2026-02-27,438.75,440.0,432.0,432.75,13640,1.2694748990190519,429.475,433.23,431.0325,0.6934933229075524
2026-03-02,433.25,441.0,431.75,439.5,5722,-1.2535612535612528,429.725,433.165,431.1475,0.7425648596203607
