release_date,marketing_year,production_bb,yield_bpa,planted_acres_ma,ending_stocks_bb,beginning_stocks_bb,feed_use_bb,exports_bb,ethanol_use_bb,notes
2026-07-10,2026/27,16.0,183,95.3,1.79,2.020,6.1,3.2,5.6,"New-crop first full report reflecting spring planting survey. Ending stocks trimmed 170mb from prior month."
2026-07-10,2025/26,17.021,,,2.020,1.551,6.350,3.325,5.550,"Old-crop stocks cut from 2.145bb to 2.020bb in same report - separate marketing year, don't mix with new-crop row above."
